AI,AV,RESISTANCE,density,AI,AV,,,,,,,,,,,,
173.6598E-6,1.0000E+0,5.7584E+3,8.6830E-3,157.4202E-6,1.0000E+0,7.8710E-3,,,,,,,,,,,
153.8756E-6,950.0000E-3,6.1738E+3,7.6938E-3,142.4580E-6,950.0000E-3,7.1229E-3,,,,,,,,,,,
134.3298E-6,900.0000E-3,6.6999E+3,6.7165E-3,129.5680E-6,900.0000E-3,6.4784E-3,,,,,,,,,,,
114.6635E-6,850.0000E-3,7.4130E+3,5.7332E-3,116.0061E-6,850.0000E-3,5.8003E-3,,,,,,,,,,,
97.5577E-6,800.0000E-3,8.2003E+3,4.8779E-3,104.1972E-6,800.0000E-3,5.2099E-3,,,,,,,,,,,
83.6473E-6,750.0000E-3,8.9662E+3,4.1824E-3,91.7174E-6,750.0000E-3,4.5859E-3,,,,,,,,,,,
70.1385E-6,700.0000E-3,9.9802E+3,3.5069E-3,83.3922E-6,700.0000E-3,4.1696E-3,,,,,,,,,,,
56.8380E-6,650.0000E-3,11.4360E+3,2.8419E-3,74.2148E-6,650.0000E-3,3.7107E-3,,,,,,,,,,,
45.7647E-6,600.0000E-3,13.1105E+3,2.2882E-3,65.8706E-6,600.0000E-3,3.2935E-3,,,,,,,,,,,
36.2412E-6,550.0000E-3,15.1761E+3,1.8121E-3,57.3096E-6,550.0000E-3,2.8655E-3,,,,,,,,,,,
25.9611E-6,500.0000E-3,19.2596E+3,1.2981E-3,50.4734E-6,500.0000E-3,2.5237E-3,,,,,,,,,,,
17.2097E-6,450.0000E-3,26.1480E+3,860.4851E-6,43.9929E-6,450.0000E-3,2.1996E-3,,,,,,,,,,,
9.2198E-6,400.0000E-3,43.3851E+3,460.9880E-6,38.3792E-6,400.0000E-3,1.9190E-3,,,,,,,,,,,
4.7892E-6,350.0000E-3,73.0811E+3,239.4600E-6,33.0074E-6,350.0000E-3,1.6504E-3,,,,,,,,,,,
-2.5977E-6,300.0000E-3,-115.4867E+3,-129.8851E-6,27.7552E-6,300.0000E-3,1.3878E-3,,,,,,,,,,,
-7.7081E-6,250.0000E-3,-32.4336E+3,-385.4027E-6,22.5516E-6,250.0000E-3,1.1276E-3,,,,,,,,,,,
-14.0953E-6,200.0000E-3,-14.1891E+3,-704.7641E-6,17.9434E-6,200.0000E-3,897.1711E-6,,,,,,,,,,,
-19.4844E-6,150.0000E-3,-7.6985E+3,-974.2210E-6,12.9114E-6,150.0000E-3,645.5684E-6,,,,,,,,,,,
-24.4883E-6,100.0000E-3,-4.0836E+3,-1.2244E-3,8.2638E-6,100.0000E-3,413.1892E-6,,,,,,,,,,,
-28.9710E-6,50.0000E-3,-1.7259E+3,-1.4486E-3,4.1649E-6,50.0000E-3,208.2457E-6,,,,,,,,,,,
-33.3073E-6,000.0000E+0,000.0000E+0,-1.6654E-3,-20.8171E-9,000.0000E+0,-1.0409E-6,,,,,,,,,,,
-37.1997E-6,-50.0000E-3,1.3441E+3,-1.8600E-3,-4.3908E-6,-50.0000E-3,-219.5408E-6,,,,,,,,,,,
-41.3039E-6,-100.0000E-3,2.4211E+3,-2.0652E-3,-8.5468E-6,-100.0000E-3,-427.3411E-6,,,,,,,,,,,
-45.7345E-6,-150.0000E-3,3.2798E+3,-2.2867E-3,-13.5925E-6,-150.0000E-3,-679.6254E-6,,,,,,,,,,,
-50.0068E-6,-200.0000E-3,3.9995E+3,-2.5003E-3,-19.8120E-6,-200.0000E-3,-990.5990E-6,,,,,,,,,,,
-56.4575E-6,-250.0000E-3,4.4281E+3,-2.8229E-3,-26.3672E-6,-250.0000E-3,-1.3184E-3,,,,,,,,,,,
-64.0002E-6,-300.0000E-3,4.6875E+3,-3.2000E-3,-33.4311E-6,-300.0000E-3,-1.6716E-3,,,,,,,,,,,
-71.4396E-6,-350.0000E-3,4.8992E+3,-3.5720E-3,-41.2123E-6,-350.0000E-3,-2.0606E-3,,,,,,,,,,,
-79.6316E-6,-400.0000E-3,5.0231E+3,-3.9816E-3,-49.8615E-6,-400.0000E-3,-2.4931E-3,,,,,,,,,,,
-89.4329E-6,-450.0000E-3,5.0317E+3,-4.4716E-3,-58.3978E-6,-450.0000E-3,-2.9199E-3,,,,,,,,,,,
-102.5908E-6,-500.0000E-3,4.8737E+3,-5.1295E-3,-68.7570E-6,-500.0000E-3,-3.4379E-3,,,,,,,,,,,
-118.3207E-6,-550.0000E-3,4.6484E+3,-5.9160E-3,-81.2192E-6,-550.0000E-3,-4.0610E-3,,,,,,,,,,,
-137.6780E-6,-600.0000E-3,4.3580E+3,-6.8839E-3,-94.3924E-6,-600.0000E-3,-4.7196E-3,,,,,,,,,,,
-161.9738E-6,-650.0000E-3,4.0130E+3,-8.0987E-3,-109.6892E-6,-650.0000E-3,-5.4845E-3,,,,,,,,,,,
-192.5590E-6,-700.0000E-3,3.6352E+3,-9.6280E-3,-129.0626E-6,-700.0000E-3,-6.4531E-3,,,,,,,,,,,
-234.7236E-6,-750.0000E-3,3.1952E+3,-11.7362E-3,-152.9483E-6,-750.0000E-3,-7.6474E-3,,,,,,,,,,,
-287.7796E-6,-800.0000E-3,2.7799E+3,-14.3890E-3,-181.8957E-6,-800.0000E-3,-9.0948E-3,,,,,,,,,,,
-353.9719E-6,-850.0000E-3,2.4013E+3,-17.6986E-3,-219.9936E-6,-850.0000E-3,-10.9997E-3,,,,,,,,,,,
-436.5013E-6,-900.0000E-3,2.0618E+3,-21.8251E-3,-269.0549E-6,-900.0000E-3,-13.4527E-3,,,,,,,,,,,
-529.4367E-6,-950.0000E-3,1.7944E+3,-26.4718E-3,-328.8194E-6,-950.0000E-3,-16.4410E-3,,,,,,,,,,,
-639.2027E-6,-1.0000E+0,1.5644E+3,-31.9601E-3,-400.0239E-6,-1.0000E+0,-20.0012E-3,,,,,,,,,,,
-638.2936E-6,-1.0000E+0,1.5667E+3,-31.9147E-3,-403.7661E-6,-1.0000E+0,-20.1883E-3,,,,,,,,,,,
-523.3418E-6,-950.0000E-3,1.8153E+3,-26.1671E-3,-333.7148E-6,-950.0000E-3,-16.6857E-3,,,,,,,,,,,
-425.5768E-6,-900.0000E-3,2.1148E+3,-21.2788E-3,-272.8489E-6,-900.0000E-3,-13.6424E-3,,,,,,,,,,,
-331.4641E-6,-850.0000E-3,2.5644E+3,-16.5732E-3,-225.1684E-6,-850.0000E-3,-11.2584E-3,,,,,,,,,,,
-274.6263E-6,-800.0000E-3,2.9130E+3,-13.7313E-3,-186.4745E-6,-800.0000E-3,-9.3237E-3,,,,,,,,,,,
-226.7779E-6,-750.0000E-3,3.3072E+3,-11.3389E-3,-156.0025E-6,-750.0000E-3,-7.8001E-3,,,,,,,,,,,
-187.6830E-6,-700.0000E-3,3.7297E+3,-9.3842E-3,-131.3146E-6,-700.0000E-3,-6.5657E-3,,,,,,,,,,,
-157.8196E-6,-650.0000E-3,4.1186E+3,-7.8910E-3,-111.3307E-6,-650.0000E-3,-5.5665E-3,,,,,,,,,,,
-134.4639E-6,-600.0000E-3,4.4622E+3,-6.7232E-3,-93.9214E-6,-600.0000E-3,-4.6961E-3,,,,,,,,,,,
-115.7297E-6,-550.0000E-3,4.7525E+3,-5.7865E-3,-80.8995E-6,-550.0000E-3,-4.0450E-3,,,,,,,,,,,
-100.5228E-6,-500.0000E-3,4.9740E+3,-5.0261E-3,-68.5975E-6,-500.0000E-3,-3.4299E-3,,,,,,,,,,,
-87.1858E-6,-450.0000E-3,5.1614E+3,-4.3593E-3,-58.8504E-6,-450.0000E-3,-2.9425E-3,,,,,,,,,,,
-75.3289E-6,-400.0000E-3,5.3100E+3,-3.7664E-3,-47.8672E-6,-400.0000E-3,-2.3934E-3,,,,,,,,,,,
-65.8320E-6,-350.0000E-3,5.3166E+3,-3.2916E-3,-39.1621E-6,-350.0000E-3,-1.9581E-3,,,,,,,,,,,
-56.6863E-6,-300.0000E-3,5.2923E+3,-2.8343E-3,-31.8119E-6,-300.0000E-3,-1.5906E-3,,,,,,,,,,,
-49.0237E-6,-250.0000E-3,5.0996E+3,-2.4512E-3,-25.0824E-6,-250.0000E-3,-1.2541E-3,,,,,,,,,,,
-41.9820E-6,-200.0000E-3,4.7639E+3,-2.0991E-3,-19.0861E-6,-200.0000E-3,-954.3035E-6,,,,,,,,,,,
-40.0776E-6,-150.0000E-3,3.7427E+3,-2.0039E-3,-13.4909E-6,-150.0000E-3,-674.5456E-6,,,,,,,,,,,
-33.5098E-6,-100.0000E-3,2.9842E+3,-1.6755E-3,-8.4308E-6,-100.0000E-3,-421.5410E-6,,,,,,,,,,,
-27.6250E-6,-50.0000E-3,1.8100E+3,-1.3813E-3,-4.0629E-6,-50.0000E-3,-203.1447E-6,,,,,,,,,,,
-22.0901E-6,000.0000E+0,000.0000E+0,-1.1045E-3,-3.1848E-9,000.0000E+0,-159.2407E-9,,,,,,,,,,,
-16.6161E-6,50.0000E-3,-3.0091E+3,-830.8061E-6,3.6074E-6,50.0000E-3,180.3722E-6,,,,,,,,,,,
-10.8775E-6,100.0000E-3,-9.1933E+3,-543.8726E-6,7.6260E-6,100.0000E-3,381.3014E-6,,,,,,,,,,,
-5.4197E-6,150.0000E-3,-27.6768E+3,-270.9854E-6,11.6011E-6,150.0000E-3,580.0572E-6,,,,,,,,,,,
-10.1532E-6,200.0000E-3,-19.6982E+3,-507.6600E-6,15.5667E-6,200.0000E-3,778.3338E-6,,,,,,,,,,,
-4.9494E-6,250.0000E-3,-50.5117E+3,-247.4675E-6,20.0629E-6,250.0000E-3,1.0031E-3,,,,,,,,,,,
4.1512E-6,300.0000E-3,72.2686E+3,207.5589E-6,24.7366E-6,300.0000E-3,1.2368E-3,,,,,,,,,,,
8.3146E-6,350.0000E-3,42.0948E+3,415.7283E-6,29.9506E-6,350.0000E-3,1.4975E-3,,,,,,,,,,,
18.2395E-6,400.0000E-3,21.9304E+3,911.9759E-6,34.9038E-6,400.0000E-3,1.7452E-3,,,,,,,,,,,
27.1545E-6,450.0000E-3,16.5719E+3,1.3577E-3,40.8003E-6,450.0000E-3,2.0400E-3,,,,,,,,,,,
36.0364E-6,500.0000E-3,13.8749E+3,1.8018E-3,47.4407E-6,500.0000E-3,2.3720E-3,,,,,,,,,,,
46.2916E-6,550.0000E-3,11.8812E+3,2.3146E-3,56.4594E-6,550.0000E-3,2.8230E-3,,,,,,,,,,,
50.0112E-6,600.0000E-3,11.9973E+3,2.5006E-3,64.2508E-6,600.0000E-3,3.2125E-3,,,,,,,,,,,
63.0993E-6,650.0000E-3,10.3012E+3,3.1550E-3,71.8840E-6,650.0000E-3,3.5942E-3,,,,,,,,,,,
75.1736E-6,700.0000E-3,9.3118E+3,3.7587E-3,80.4268E-6,700.0000E-3,4.0213E-3,,,,,,,,,,,
86.8720E-6,750.0000E-3,8.6334E+3,4.3436E-3,91.9955E-6,750.0000E-3,4.5998E-3,,,,,,,,,,,
100.3459E-6,800.0000E-3,7.9724E+3,5.0173E-3,102.4838E-6,800.0000E-3,5.1242E-3,,,,,,,,,,,
115.6070E-6,850.0000E-3,7.3525E+3,5.7804E-3,114.2678E-6,850.0000E-3,5.7134E-3,,,,,,,,,,,
132.2593E-6,900.0000E-3,6.8048E+3,6.6130E-3,128.0671E-6,900.0000E-3,6.4034E-3,,,,,,,,,,,
150.0635E-6,950.0000E-3,6.3307E+3,7.5032E-3,141.0637E-6,950.0000E-3,7.0532E-3,,,,,,,,,,,
169.0806E-6,1.0000E+0,5.9143E+3,8.4540E-3,154.3608E-6,1.0000E+0,7.7180E-3,,,,,,,,,,,